frame,rep,stage,knee_angle,hip_angle
52,1,down,94.72,86.45
104,1,up,151.93,145.79
151,2,down,96.42,88.82
197,2,up,154.19,148.4
251,3,down,95.76,88.08
292,3,up,153.1,145.47
353,4,down,95.72,83.3
400,4,up,156.6,144.74
459,5,down,97.27,83.71
512,5,up,153.68,145.91
579,6,down,98.47,85.07
629,6,up,156.31,147.62
