frame,rep,stage,knee_angle,hip_angle
16,1,down,84.45,105.09
92,1,up,151.0,151.22
130,2,down,82.99,117.41
206,2,up,149.66,152.69
250,3,down,81.49,120.87
325,3,up,153.04,152.32
359,4,down,83.13,119.95
432,4,up,155.23,153.53
