frame,rep,stage,knee_angle,hip_angle
104,1,down,91.6,93.72
175,1,up,153.73,142.36
225,2,down,91.92,90.37
305,2,up,154.06,144.68
356,3,down,91.9,88.27
435,3,up,155.84,142.73
488,4,down,91.83,91.14
570,4,up,156.43,142.41
