knee_angle,hip_angle,left_knee,right_knee,filename,frame
177.27913141129216,177.55364651270912,177.33158402283095,176.3842787698523,Squats_project.mp4,0
177.31124259496906,177.66321198505125,177.37546496232284,176.4564190449855,Squats_project.mp4,1
177.3573790213639,177.91966254213946,177.4957883005484,176.33933900863866,Squats_project.mp4,2
177.3214973304118,178.10961432490697,177.17797056660345,176.04494600877194,Squats_project.mp4,3
177.31993875135302,178.3455225237603,177.31214585605912,176.07836049592544,Squats_project.mp4,4
177.29528342751013,178.41096867308042,177.14735148445254,175.98835292274356,Squats_project.mp4,5
177.24102968740408,178.58054477147925,176.84690261901108,175.91864426119983,Squats_project.mp4,6
177.06442485176873,178.78919173381087,176.09535017338354,175.51647398145965,Squats_project.mp4,7
176.72160559781835,179.07987569795458,174.97573018467025,174.75017633388293,Squats_project.mp4,8
176.34071323199012,179.19629337945767,174.8295417397509,174.12363185627504,Squats_project.mp4,9
176.13712930176422,179.17928076771037,175.75288305502195,174.20601967787184,Squats_project.mp4,10
175.97093450527967,179.0356735115925,176.14878228066732,175.14049265269074,Squats_project.mp4,11
175.86982940290633,178.93155008900953,176.4396157678394,175.81980961941636,Squats_project.mp4,12
175.87916656194596,178.76226941492058,176.91226273228835,176.05997413761506,Squats_project.mp4,13
176.07824367209045,178.46692567052216,177.48888994439505,176.532523348958,Squats_project.mp4,14
176.50763694794205,178.01055541947744,177.98148311563128,176.62214667763178,Squats_project.mp4,15
176.9788494244326,177.60482402270628,178.12802907518503,176.66111958028918,Squats_project.mp4,16
177.3643729043027,177.24756229807767,178.45154741411258,176.7999353319873,Squats_project.mp4,17
177.68389206245425,176.9058557065039,178.38541638772796,176.978271929359,Squats_project.mp4,18
177.9699737364827,176.6073029538716,178.4421874860386,177.33144242853396,Squats_project.mp4,19
178.2049617431137,176.3807055212877,178.5571787787053,177.37662738391367,Squats_project.mp4,20
178.39058373930774,176.13940005013706,178.7882439177536,177.36912893748274,Squats_project.mp4,21
178.48514318633508,175.96758559775935,178.64339924482238,176.58535627525328,Squats_project.mp4,22
178.56780728919006,175.79541983894,178.70667779516987,176.52122503718388,Squats_project.mp4,23
178.5765378784036,175.73004703456692,178.51266153860755,176.29720297550065,Squats_project.mp4,24
178.50644955125287,175.74752104179024,177.8947980976728,175.461604236059,Squats_project.mp4,25
178.26247097771147,175.87875816832852,176.73433747124895,174.57785504367973,Squats_project.mp4,26
177.83611496534053,176.09581388899542,175.57268669210856,173.9430984320089,Squats_project.mp4,27
177.3648847886729,176.28745809726516,175.48963268108025,173.71566737767094,Squats_project.mp4,28
176.97978047280836,176.35935161200698,175.94766903377064,173.4484559968447,Squats_project.mp4,29
176.58878062905208,176.38947900299087,175.96967888887565,174.00880791198284,Squats_project.mp4,30
176.33660430803093,176.22850335567932,176.74742729145967,174.92182495012938,Squats_project.mp4,31
176.41600947066533,175.81096698649844,178.4506342361136,175.7163891668288,Squats_project.mp4,32
176.78574109579395,175.1895488698723,179.32245884714933,176.6169698584571,Squats_project.mp4,33
177.39004044255788,174.430983163539,179.80278211945586,177.3434877846591,Squats_project.mp4,34
178.02880355789952,173.6945627120237,179.96097448847198,178.55512425265263,Squats_project.mp4,35
178.51332983578035,172.9319632679828,179.3393529789364,179.78749233946934,Squats_project.mp4,36
178.98916822894327,172.23665998256556,179.30054764101627,179.02382827673685,Squats_project.mp4,37
179.34954128788354,171.70488955536538,179.2700387040413,178.1990805328392,Squats_project.mp4,38
179.51182838091057,171.48532574831603,179.58664388730287,177.7839896455973,Squats_project.mp4,39
179.563587346596,171.59122231563452,179.68477160694746,177.0927822652414,Squats_project.mp4,40
179.49342680605713,172.16616511264652,179.31165833568366,175.69239076548573,Squats_project.mp4,41
179.1970280671655,173.31413791802115,177.88618331623016,175.85125349489743,Squats_project.mp4,42
178.90164027412837,174.0914241185451,177.2716384276769,176.94995563929348,Squats_project.mp4,43
178.64753478180413,174.52610679110197,177.52180919474654,177.79968303604213,Squats_project.mp4,44
178.42172217945068,174.44965747002976,177.68935048756754,177.87770828485742,Squats_project.mp4,45
178.0758642961714,173.59460823541013,177.16563870434754,176.64500323521148,Squats_project.mp4,46
177.50319964386105,172.01679194378468,175.67611904077484,177.34240083431536,Squats_project.mp4,47
176.76146867618127,169.40748943005386,174.1195415619255,174.79791557927686,Squats_project.mp4,48
175.94920155633073,165.74577029571898,172.2003134772765,171.44986417239915,Squats_project.mp4,49
174.39223137064522,161.64774130341766,166.37284712787775,165.92315538325576,Squats_project.mp4,50
171.44256537721074,156.70841285373382,156.87414724070544,157.8512101667588,Squats_project.mp4,51
167.37011119971308,151.39169486074516,149.182171245084,150.47347887154984,Squats_project.mp4,52
162.4389148175995,145.89157193236386,142.64726402955253,143.19791598606076,Squats_project.mp4,53
156.62682047369657,140.15026432770756,134.99145863345424,134.73202297207342,Squats_project.mp4,54
150.19081247220404,134.52958601367263,129.0674855514778,129.83903224863172,Squats_project.mp4,55
142.78875528265073,128.48359266486324,120.3859131504033,123.06551941360439,Squats_project.mp4,56
135.1631142471103,122.46575843077062,112.99335987909456,117.89974635954864,Squats_project.mp4,57
127.60133152950424,116.5666058417091,103.94166821746323,109.86771437022634,Squats_project.mp4,58
120.53212277808962,111.01885672841114,99.6977099851816,105.96836539918047,Squats_project.mp4,59
113.50592326473434,105.64127502721001,93.46386743606568,100.18964763901371,Squats_project.mp4,60
106.77560054742655,100.31641245845978,87.87919961229963,95.26890991587204,Squats_project.mp4,61
100.31140412441866,95.18848626923061,83.81811059042255,90.91214628275405,Squats_project.mp4,62
94.41493023901717,90.4769722253211,79.11059595259287,83.78840372172516,Squats_project.mp4,63
89.00722050895732,86.24461683949542,75.13939176867565,78.26528292756339,Squats_project.mp4,64
84.23348573810469,82.53830500464117,70.52552482149484,74.07217962852539,Squats_project.mp4,65
79.67311351578653,78.99542751048729,67.77510442895444,71.25290359705625,Squats_project.mp4,66
75.50867283539914,75.78062208110454,64.31278267335402,68.35561546170315,Squats_project.mp4,67
71.96290796361127,73.14032797158242,63.05884550978449,63.056095506491914,Squats_project.mp4,68
68.89896228026201,70.75213575195866,62.370490806977806,60.30567316404521,Squats_project.mp4,69
66.45395902595344,68.82167172121537,61.99557317243282,57.98341487724443,Squats_project.mp4,70
64.76561242077611,67.49994348928321,63.32096553243435,58.665639961954106,Squats_project.mp4,71
63.855955308486394,66.8116919368691,64.15792503546686,58.65228724033904,Squats_project.mp4,72
63.48981624320944,66.61288846271017,65.21213097201576,60.231845137058585,Squats_project.mp4,73
63.77242449779845,66.89020151055861,66.29104045547707,61.016800545403555,Squats_project.mp4,74
64.47956124036146,67.63183249631689,68.00880270772556,63.57342396031504,Squats_project.mp4,75
66.18869898384399,69.47996619436555,74.33445501135556,70.43740155948653,Squats_project.mp4,76
69.02776519770775,72.48011301810274,81.86903666947914,82.95177881696048,Squats_project.mp4,77
72.45142986848518,76.10968042267112,87.28661822787626,91.27209056773769,Squats_project.mp4,78
76.56244888336128,80.46686947980149,92.93505813959959,98.21424136765675,Squats_project.mp4,79
81.29916554264149,85.50144713861617,98.3691475869772,104.32059114167087,Squats_project.mp4,80
87.10238096716945,91.6563439361444,106.91354842717284,113.30527589913505,Squats_project.mp4,81
93.75881074648838,98.78693719929889,114.60381116295812,118.53082401060138,Squats_project.mp4,82
100.39830056097549,105.90202289129643,120.81088371276536,121.7241978883126,Squats_project.mp4,83
106.98457087888123,112.951701017843,127.9729288948193,127.59259866483987,Squats_project.mp4,84
113.8635910799061,120.0748143759575,135.43975963505028,134.67747061151354,Squats_project.mp4,85
120.6500262355636,127.19012209592346,140.44010422920198,141.0699511450386,Squats_project.mp4,86
127.48869582035334,134.17210972420492,146.23983468050554,147.64930822302082,Squats_project.mp4,87
133.79307361832244,140.68426204310714,151.04419301295636,151.07525644211296,Squats_project.mp4,88
139.54384889985687,146.4032189605195,154.8592381336994,155.6404161657989,Squats_project.mp4,89
144.92570671422328,151.65957567989315,158.4838884133302,158.98959928544994,Squats_project.mp4,90
150.0249859170687,156.63081432412267,163.66788331473725,163.956091678858,Squats_project.mp4,91
154.71440214129893,161.1398777558114,168.26567320466188,165.24923258486302,Squats_project.mp4,92
159.0493384759523,165.07134308230187,170.7846585717757,166.60053942903372,Squats_project.mp4,93
162.82350024695663,168.62170219495144,172.65896707753555,169.43294754453032,Squats_project.mp4,94
166.07328919760332,171.52540824964277,173.79271566748335,171.3558133490877,Squats_project.mp4,95
169.09098887342438,174.15568958580138,175.98313586444687,173.5883262509777,Squats_project.mp4,96
172.01346114417962,176.00069868195442,178.94119430861662,175.7274941549173,Squats_project.mp4,97
174.15755201250735,176.8230916597759,178.67651939303167,176.77216524297498,Squats_project.mp4,98
175.5323361803044,176.99757434908278,177.88916237924138,176.96496326084298,Squats_project.mp4,99
176.50152701415394,176.6649335294354,177.56899440872226,177.38482708863117,Squats_project.mp4,100
177.28131508777616,175.9944936342297,178.11748359289084,177.2344835432668,Squats_project.mp4,101
177.95742535955782,175.09903382087123,178.52548756995512,176.97560596406942,Squats_project.mp4,102
178.27021258542433,173.76878705897602,178.1726464455124,177.3274158750482,Squats_project.mp4,103
178.20189152760915,172.5608539347933,178.46294690391045,177.86885028661888,Squats_project.mp4,104
178.23474985691675,171.60591579788613,178.90652769818485,177.8283178939099,Squats_project.mp4,105
178.45815313648885,171.03946732580238,179.45298533624606,176.70551372465118,Squats_project.mp4,106
178.78906176129365,170.54658622554254,179.88535478235605,176.16257750275946,Squats_project.mp4,107
178.98045733998688,170.13872660208168,179.4572526437433,175.4128500911268,Squats_project.mp4,108
178.97698747667633,169.91693799867556,178.50119852678128,175.30862025659,Squats_project.mp4,109
178.9772609851165,169.8539561958355,178.1745610045935,175.97904508152604,Squats_project.mp4,110
178.92993849290022,169.90848222618638,178.13168945839658,175.6104538604289,Squats_project.mp4,111
178.84922325284245,169.99168060553228,178.3415210177804,175.70539462235925,Squats_project.mp4,112
178.7487022656398,169.90695926355167,178.7493384258273,175.44365056361195,Squats_project.mp4,113
178.44454776128526,170.30445074050152,177.75627325187446,175.7733019184994,Squats_project.mp4,114
178.08400296248715,171.02253538336254,176.93343905215644,175.904364646018,Squats_project.mp4,115
177.83431975743355,172.07234411638478,176.75341609140605,176.50728120652906,Squats_project.mp4,116
177.75142310262677,173.38115410410677,177.5942844209461,177.34407794548517,Squats_project.mp4,117
