knee_angle,hip_angle,left_knee,right_knee,filename,frame
179.70882805621073,175.19826279211253,179.33263071065102,179.85276685482333,Squat.mp4,0
179.66518493200195,174.87795352724024,178.67597389351772,179.5778986835844,Squat.mp4,1
179.4980004148063,174.58452805380182,177.6244416326384,178.99644686321935,Squat.mp4,2
179.3899739654528,174.4114738179406,177.47731082993886,178.95786816803874,Squat.mp4,3
179.31391862767137,174.30349253238003,177.52813375353176,178.93364193876428,Squat.mp4,4
179.25741538739436,174.22876905250038,177.88300375140125,178.91839594573239,Squat.mp4,5
179.15728958614588,173.9623786296016,178.07882902520194,178.86400864885846,Squat.mp4,6
178.97513622049934,173.81042681767354,177.9344534419283,178.57769329529762,Squat.mp4,7
178.78037879475343,173.70933650118045,177.78410414864646,178.2145967033633,Squat.mp4,8
178.65485558554016,173.67828765414092,177.66931493333138,178.1177843987264,Squat.mp4,9
178.54199260388168,173.67614150471263,177.21748975706157,178.16782729642927,Squat.mp4,10
178.4341331946604,173.67802195399113,177.0428095029703,178.17862607421543,Squat.mp4,11
178.34002079936445,173.71148375318802,177.30933475611718,178.25960917866072,Squat.mp4,12
178.24588226092882,173.76206302090782,177.41080550825353,178.20503887980917,Squat.mp4,13
178.17784219825373,173.83030171398474,177.56565581115083,178.10141285657193,Squat.mp4,14
178.14398222108295,173.92627818649567,177.52147293593808,177.97757686316743,Squat.mp4,15
178.12544390131296,174.054353876334,177.32758457236326,177.98801616033657,Squat.mp4,16
178.10243173031216,174.1776073126613,177.21512081403233,178.00674209942406,Squat.mp4,17
178.08521817654392,174.30783458773354,177.18034595223995,178.0581311978374,Squat.mp4,18
178.0573674532373,174.41220555071396,177.16084657543703,178.06465411551468,Squat.mp4,19
178.04459528214696,174.5090190893436,177.0511657632082,178.11563368217665,Squat.mp4,20
178.04882000801285,174.5950102915262,176.9060489564794,178.13098593763308,Squat.mp4,21
178.06627765624415,174.67937314656157,176.79541282328805,178.09978040078664,Squat.mp4,22
178.06941145616116,174.71272567497888,176.58110252494453,178.00995275975572,Squat.mp4,23
178.05892553209543,174.69308188585654,176.33012057946044,177.933340630964,Squat.mp4,24
178.03423134137756,174.61902773557102,176.17907565560347,177.88527186281217,Squat.mp4,25
178.02731841439734,174.56237840117547,176.12482755135088,178.01626362665314,Squat.mp4,26
178.01862850629678,174.51631414735093,176.18681869121355,178.0548043254725,Squat.mp4,27
178.03992945868686,174.53505951411128,176.80047336370356,178.28009260436366,Squat.mp4,28
178.1481225242815,174.70721758020167,178.06258982622978,178.85713185994905,Squat.mp4,29
178.31015478658884,174.9774911828957,179.27056637047315,179.14417859590753,Squat.mp4,30
178.56941439615716,175.57862947472864,179.51359227579798,179.74815789794232,Squat.mp4,31
178.71271363235974,176.27506543203134,179.66897952546918,178.88836651623012,Squat.mp4,32
178.6594538470786,176.65157586516816,179.8855039908887,177.6434451296851,Squat.mp4,33
178.2442327228341,176.39495317200627,178.56341028125738,175.14825645576104,Squat.mp4,34
177.18417699046768,175.13523309858562,175.98494818917987,170.85970247779858,Squat.mp4,35
175.42719785492434,173.00002554246413,171.78333132562352,166.55827791114578,Squat.mp4,36
172.90430362026737,169.9809107803458,167.5753598376892,161.48391895330852,Squat.mp4,37
